C_ID	Text	IsValidCode
1A62.2	晚期其他部位梅毒，有症状	否
1A62.20	晚期眼梅毒	是
1A62.21	晚期梅毒累及肌肉骨骼系统	是
1A62.22	晚期皮肤或黏膜梅毒	是
1A62.2Y	晚期其他特指部位梅毒，有症状	是
1A62.2Z	晚期其他部位梅毒，有症状，未特指的	是
1A62.Y	其他特指的晚期梅毒	是
1A62.Z	晚期梅毒，未特指的	是
1A63	隐性梅毒，未特指早期或晚期	是
1A6Z	梅毒，未特指的	是
L2-1A7	淋球菌感染	否
1A70	泌尿生殖系淋球菌感染	否
1A70.0	下泌尿生殖道淋病不伴尿道周围或邻近腺体脓肿	否
1A70.00	阴茎淋病	是
1A70.0Y	其他特指的下泌尿生殖道淋病不伴尿道周围或邻近腺体脓肿	是
1A70.0Z	下泌尿生殖道淋病不伴尿道周围或邻近腺体脓肿，未特指的	是
1A70.1	下泌尿生殖道淋病伴尿道周围或邻近腺体脓肿	是
1A70.Y	其他特指泌尿生殖器官淋球菌感染	是
1A70.Z	泌尿生殖系淋球菌感染，未特指的	是
1A71	淋球菌性盆腔腹膜炎	是
1A72	其他部位的淋球菌感染	否
1A72.0	肌肉骨骼系统淋球菌感染	是
1A72.1	直肠淋球菌感染	是
1A72.2	肛门淋球菌感染	是
1A72.3	淋菌性咽炎	是
1A72.4	眼淋球菌感染	是
1A72.Y	其他特指部位的淋球菌感染	是
1A72.Z	其他部位的淋球菌感染，未特指的	是
1A73	播散性淋球菌感染	是
1A7Z	淋球菌感染，未特指的	是
L2-1A8	衣原体引起的性传播感染	否
1A80	衣原体淋巴肉芽肿	是
1A81	经性传播的非溃疡性衣原体感染	否
1A81.0	下泌尿生殖道衣原体感染	是
1A81.1	内生殖器衣原体感染	是
1A81.Y	其他特指部位的非溃疡性性传播衣原体感染	是
1A81.Z	未特指部位的非溃疡性性传播衣原体感染	是
1A8Y	其他特指的衣原体引起的性传播感染	是
1A8Z	衣原体引起的性传播感染，未特指的	是
1A90	软下疳	是
1A91	腹股沟肉芽肿	是
1A92	毛滴虫病	是
1A93	性传播侵染	是
1A94	肛门-生殖器单纯疱疹病毒感染	否
1A94.0	生殖器或泌尿生殖道单纯疱疹病毒感染	是
1A94.1	肛周皮肤或直肠单纯疱疹病毒感染	是
1A94.Z	肛门生殖器单纯疱疹病毒感染，无进一步说明	是
1A95	肛门生殖器疣	否
1A95.0	肛门疣	是
1A95.1	生殖器疣	是
1A95.2	外生殖器尖锐湿疣	是
1A9Y	其他特指的以性传播为主要途径的感染	是
1A9Z	以性传播为主要途径的感染，未特指的	是
L1-1B1	分枝杆菌病	否
L2-1B1	结核病	否
1B10	呼吸系统结核病	否
1B10.0	呼吸道结核病，确诊病例	是
1B10.1	呼吸道结核病，未确诊病例	是
1B10.Z	呼吸道结核病，未提及细菌学或组织学证实	是
1B11	神经系统结核病	否
1B11.0	结核性脑膜炎	是
1B11.1	结核性脑膜脑炎	是
1B11.2	脑膜结核瘤	是
1B11.3	脑结核性肉芽肿	是
1B11.4	脑膜结核性肉芽肿	是
1B11.Y	神经系统其他特指部位的结核病	是
1B11.Z	神经系统结核病，未特指的	是
1B12	其他系统和器官的结核病	否
1B12.0	心脏结核病	是
1B12.1	眼结核病	是
1B12.2	耳结核病	否
1B12.20	内耳结核病	是
1B12.21	中耳结核病	是
1B12.2Y	其他特指的耳结核病	是
1B12.2Z	耳结核病，未特指的	是
1B12.3	内分泌腺结核病	是
1B12.4	肌肉骨骼系统结核病	否
1B12.40	骨结核病或关节结核病	是
1B12.41	结核性肌炎	是
1B12.4Y	肌肉骨骼系统其他特指部位的结核病	是
1B12.4Z	肌肉骨骼系统结核病，未特指的	是
1B12.5	泌尿生殖系统结核病	是
1B12.6	周围淋巴结结核病	是
1B12.7	消化系统结核病	是
1B12.8	皮肤结核病	是
1B12.Y	其他特指器官或部位的结核病	是
1B13	粟粒性结核病	否
1B13.0	单个特指部位的急性粟粒性结核病	是
1B13.1	多部位的急性粟粒性结核病	是
1B14	潜伏性结核	是
1B1Y	其他特指的结核病	是
1B1Z	结核病，未特指的	是
1B20	麻风病	否
1B20.0	少菌型麻风病	是
1B20.1	多菌型麻风病	是
1B20.2	麻风反应	否
1B20.20	I型麻风反应	是
1B20.21	II型麻风反应	是
1B20.3	麻风病并发症	是
1B20.Z	麻风病，未特指的	是
1B21	非结核分枝杆菌所致感染	否
1B21.0	肺非结核分枝杆菌感染	是
1B21.1	非结核分枝杆菌性淋巴结炎	是
1B21.2	皮肤的非结核分枝杆菌感染	否
1B21.20	溃疡分枝杆菌感染	是
1B21.2Y	其他特指的非结核分枝杆菌引起的皮肤感染	是
1B21.2Z	未特指的非结核分枝杆菌引起的皮肤感染	是
1B21.3	播散性非结核分枝杆菌感染	是
1B21.4	胃肠道非结核分枝杆菌感染	是
1B21.Y	其他特指部位的非结核分枝杆菌感染	是
1B21.Z	未特指部位的非结核分枝杆菌感染	是
1B2Y	其他特指的分枝杆菌病	是
1B2Z	分枝杆菌病，未特指的	是
L1-1B4	某些葡萄球菌或链球菌性疾患	否
L2-1B4	急性风湿热	否
1B40	急性风湿热，未累及心脏	否
1B40.0	急性或亚急性风湿性关节炎	是
1B40.Y	其他特指的急性风湿热，未提及累及心脏	是
1B40.Z	急性风湿热，未提及累及心脏，未特指的	是
1B41	急性风湿热伴心脏受累	否
1B41.0	急性风湿性心包炎	是
1B41.1	急性风湿性心内膜炎	否
1B41.10	风湿性主动脉炎	是
1B41.1Y	其他特指的急性风湿性心内膜炎	是
1B41.1Z	急性风湿性心内膜炎，未特指的	是
1B41.2	急性风湿性心肌炎	是
1B41.Y	其他急性风湿性心脏病	是
1B41.Z	急性风湿性心脏病，未特指的	是
1B42	风湿性舞蹈症	是
1B50	猩红热	是
1B51	链球菌性咽炎	是
1B52	中毒性休克综合征	否
1B52.0	链球菌中毒性休克综合征	是
1B52.1	葡萄球菌中毒性休克综合征	是
1B53	链球菌性脑膜炎	是
1B54	葡萄球菌性脑膜炎	是
1B5Y	其他特指的葡萄球菌或链球菌性疾病	是
1B5Z	葡萄球菌或链球菌性疾病，未特指的	是
L1-1B7	皮肤或皮下组织的化脓性细菌感染	否
1B70	细菌性蜂窝织炎、丹毒和淋巴管炎	否
1B70.0	丹毒	否
1B70.00	面部丹毒	是
1B70.01	外耳丹毒	是
1B70.02	下肢丹毒	是
1B70.0Y	其他特指部位的丹毒	是
1B70.1	链球菌性蜂窝织炎	是
1B70.2	葡萄球菌的蜂窝织炎	是
1B70.3	上行性细菌性淋巴管炎	是
1B70.Y	其他特指细菌引起的细菌性蜂窝织炎或淋巴管炎	是
1B70.Z	未特指细菌引起的细菌性蜂窝织炎或淋巴管炎	是
1B71	坏死性筋膜炎	否
1B71.0	链球菌性坏死性筋膜炎	是
1B71.1	多种微生物所致坏死性筋膜炎	是
1B71.2	新生儿坏死性筋膜炎	是
1B71.Y	其他特指的细菌感染引起的坏死性筋膜炎	是
1B71.Z	坏死性筋膜炎，未特指的	是
1B72	脓疱病	否
1B72.0	大疱性脓疱病	是
1B72.1	非-大疱性脓疱病	是
1B72.2	继发性皮肤脓疱病	是
1B72.Y	其他特指的脓疱病	是
1B72.Z	脓疱病，未特指的	是
1B73	深脓疱病	否
1B73.0	链球菌深脓疱病	是
1B73.1	葡萄球菌深脓疱病	是
1B73.2	坏死性深脓疱病	是
1B73.Y	其他特指的深脓疱病	是
1B73.Z	深脓疱病，未特指的	是
1B74	浅表性细菌性毛囊炎	否
1B74.0	金黄色葡萄球菌性浅表性毛囊炎	是
1B74.Y	其他特指的微生物引起的浅表性细菌性毛囊炎	是
1B74.Z	未特指的微生物引起的浅表性细菌性毛囊炎	是
1B75	皮肤深层细菌性毛囊炎或脓性脓肿	否
1B75.0	疖（病）	是
1B75.1	痈	是
1B75.2	疖（病）	是
1B75.3	皮肤脓肿	是
1B75.4	慢性深部细菌性毛囊炎	是
1B7Y	其他特指的皮肤和皮下组织化脓性细菌感染	是
L1-1B9	某些动物源性细菌性疾病	否
1B90	鼠咬热	否
1B90.0	螺菌病	是
1B90.1	链杆菌病	是
1B91	钩端螺旋体病	是
1B92	鼻疽	是
1B93	鼠疫	否
1B93.0	黑死病	是
1B93.1	皮下蜂窝织炎型鼠疫	是
1B93.2	肺鼠疫	是
1B93.3	脑膜炎型鼠疫	是
1B93.Y	其他特指的鼠疫	是
1B93.Z	鼠疫，未特指的	是
1B94	兔热病[土拉菌病]	否
1B94.0	溃疡淋巴腺型兔热病[土拉菌病]	是
1B94.Y	其他特指的兔热病[土拉菌病]	是
1B94.Z	兔热病[土拉菌病]，未特指的	是
1B95	布鲁氏菌病	是
1B96	类丹毒	是
1B97	炭疽	是
1B98	猫抓病	是
1B99	巴斯德菌病	是
1B9A	肠外耶尔森菌病	是
1B9Z	未特指的人畜共患细菌性疾病	是
L1-1C1	其他细菌性疾病	否
1C10	放线菌病	否
1C10.0	肺放线菌病	是
1C10.1	腹部放线菌病	是
1C10.2	面颈部放线菌病	是
1C10.3	原发性皮肤放线菌病	是
1C10.Y	其他特指形式的放线菌病	是
1C10.Z	放线菌病，未特指的	是
1C11	巴尔通体病	否
1C11.0	Carrion病	否
1C11.00	奥罗亚热	是
1C11.01	秘鲁疣	是
1C11.1	战壕热	是
1C11.Y	其他形式的巴尔通体病	是
1C12	百日咳	否
1C12.0	百日咳	是
1C12.1	百日咳，副百日咳博德杆菌引起	是
1C12.Y	其他特指的百日咳	是
1C12.Z	百日咳，未特指的	是
1C13	破伤风	是
1C14	产科破伤风	是
1C15	新生儿破伤风	是
1C16	气性坏疽	是
1C17	白喉	否
1C17.0	咽白喉或扁桃体白喉	否
1C17.00	白喉后悬垂麻痹	是
1C17.0Y	其他特指的咽白喉或扁桃体白喉	是
1C17.0Z	咽白喉或扁桃体白喉，未特指的	是
1C17.1	鼻白喉	是
1C17.2	喉白喉	是
1C17.3	皮肤白喉	是
1C17.Y	其他特指的白喉	是
1C17.Z	白喉，未特指的	是
1C18	巴西紫癜热	是
1C19	军团菌病	否
1C19.0	非肺炎型军团菌病	是
1C1A	李斯特菌病	否
1C1A.0	皮肤李斯特菌病	是
1C1A.1	李斯特菌脑膜炎或脑膜脑炎	是
1C1A.Y	其他特指的李斯特菌病	是
1C1A.Z	李斯特菌病，未特指的	是
1C1B	诺卡菌病	否
1C1B.0	肺诺卡菌病	是
1C1B.1	皮肤诺卡菌病	是
1C1B.Y	其他特指形式的诺卡菌病	是
1C1B.Z	诺卡菌病，未特指的	是
1C1C	脑膜炎球菌病	否
1C1C.0	脑膜炎球菌脑膜炎	是
1C1C.1	沃-弗综合征	是
1C1C.2	脑膜炎球菌性菌血症	否
1C1C.20	急性脑膜炎球菌血症	是
1C1C.2Y	其他特指的脑膜炎球菌性菌血症	是
1C1C.2Z	脑膜炎球菌性菌血症，未特指的	是
1C1C.Y	其他特指的脑膜炎球菌感染	是
1C1C.Z	脑膜炎球菌感染，未特指的	是
1C1D	雅司病	否
1C1D.0	一期雅司	是
1C1D.1	二期雅司	是
1C1D.2	三期雅司	是
1C1D.3	潜伏性雅司病	是
1C1E	品他病	否
1C1E.0	品他病初期损害	是
1C1E.1	品他病中期损害	是
1C1E.2	品他病晚期损害	是
1C1E.3	品他病混合性损害	是
1C1F	地方性非性病性梅毒	是
1C1G	莱姆病	否
1C1G.0	早期皮肤莱姆病	是
1C1G.1	播散性莱姆病	否
1C1G.10	神经莱姆病	是
1C1G.11	晚期心脏炎	是
1C1G.12	眼莱姆病	是
1C1G.13	莱姆关节炎	是
1C1G.14	晚期皮肤型莱姆病	是
1C1G.1Y	其他特指的播散性莱姆病	是
1C1G.1Z	播散性莱姆病，未特指的	是
1C1G.2	先天性莱姆病	是
1C1G.Y	其他特指的莱姆病	是
1C1H	坏死性溃疡性龈炎	是
1C1J	回归热	否
1C1J.0	蜱传回归热	是
1C1J.1	虱传回归热	是
L2-1C2	其他衣原体病	否
1C20	衣原体性结膜炎	是
1C21	衣原体性腹膜炎	是
1C22	鹦鹉热衣原体感染	是
1C23	沙眼	否
1C23.0	初期沙眼	是
1C23.1	活动期沙眼	是
1C23.Y	其他特指的沙眼	是
1C23.Z	沙眼，未特指的	是
1C2Y	其他特指的衣原体病	是
1C2Z	其他衣原体病，未特指的	是
L2-1C3	立克次体病	否
1C30	斑疹伤寒	否
1C30.0	虱传流行性斑疹伤寒，由普氏立克次体引起	是
1C30.1	再燃性斑疹伤寒	是
1C30.2	莫氏立克次体引起的地方性斑疹伤寒	是
1C30.3	恙虫热立克次体所致斑疹伤寒	是
1C30.Y	其他特指的斑疹伤寒	是
1C30.Z	斑疹伤寒，未特指的	是
1C31	斑点热	否
1C31.0	立氏立克次体引起的斑点热	是
1C31.1	康诺尔立克次体引起的斑点热	是
1C31.2	西伯利亚立克次体引起的斑点热	是
1C31.3	澳洲立克次体引起的斑点热	是
1C31.Y	其他特指的斑点热	是
1C31.Z	斑点热，未特指的	是
1C32	立克次体痘	是
1C33	Q热	是
1C3Y	其他特指的立克次体病	是
1C3Z	立克次体病，未特指的	是
1C40	弯曲菌病	是
1C41	未特指部位的细菌性感染	是
1C42	类鼻疽	是
1C43	放线菌瘤	是
1C44	皮肤非脓性细菌性感染	是
1C4Y	其他特指的细菌性疾病	是
1C4Z	未特指的细菌性疾病	是
L1-1C6	人类免疫缺陷病毒病	否
1C60	艾滋病合并结核病	否
1C60.0	艾滋病（临床1期）合并结核病	是
1C60.1	艾滋病（临床2期）合并结核病	是
1C60.2	艾滋病（临床3期）合并结核病	是
1C60.3	艾滋病（临床4期）合并结核病	否
1C60.30	艾滋病后卡波西肉瘤合并结核病	是
1C60.3Y	其他特指的艾滋病（临床4期）合并结核病	是
1C60.3Z	艾滋病（临床4期）合并结核病，未特指的	是
1C60.Z	艾滋病合并结核病，临床分期未特指	是
1C61	艾滋病合并疟疾	否
1C61.0	艾滋病（临床1期）合并疟疾	是
1C61.1	艾滋病（临床2期）合并疟疾	是
1C61.2	艾滋病（临床3期）合并疟疾	是
1C61.3	艾滋病（临床4期）合并疟疾	否
1C61.30	艾滋病后卡波西肉瘤合并疟疾	是
1C61.3Y	其他特指的艾滋病（临床4期）合并疟疾	是
1C61.3Z	艾滋病（临床4期）合并疟疾，未特指的	是
1C61.Z	艾滋病合并疟疾，临床分期未特指	是
1C62	艾滋病未提及是否合并结核病或疟疾	否
1C62.0	艾滋病（临床1期）未提及是否合并结核病或疟疾	是
1C62.1	艾滋病（临床2期）未提及是否合并结核病或疟疾	是
1C62.2	艾滋病（临床3期）未提及是否合并结核病或疟疾	是
1C62.3	艾滋病（临床4期）未提及是否合并结核病或疟疾	是
1C62.Z	艾滋病（未提及合并症）临床分期未特指	是
L1-1C8	中枢神经系统的病毒性感染	否
1C80	病毒性脑炎，不可归类在他处者	是
1C81	急性脊髓灰质炎	是
1C82	狂犬病	是
1C83	西方马脑炎	是
1C84	东方马型脑炎	是
1C85	日本脑炎	是
1C86	圣路易斯型脑炎	是
1C87	罗西欧病毒病	是
1C88	澳洲墨累溪谷脑炎	是
1C89	远东蜱传脑炎	是
1C8A	中欧蜱传脑炎	是
1C8B	加利福尼亚脑炎	是
1C8C	委内瑞拉马脑炎	是
1C8D	拉克罗斯脑炎	是
1C8E	病毒性脑膜炎，不可归类在他处者	否
1C8E.0	脑脊膜炎，由于疱疹病毒	是
1C8E.1	肠道病毒脑膜炎	是
1C8E.2	腺病毒性脑膜炎	是
1C8E.Y	其他特指的病毒性脑膜炎，不可归类在他处者	是
1C8E.Z	病毒性脑膜炎，不可归类在他处者，未特指的	是
1C8F	淋巴细胞脉络丛脑膜炎	是
1C8Y	其他特指的中枢神经系统的病毒性感染	是
1C8Z	中枢神经系统的病毒性感染，未特指的	是
L1-1D0	非病毒性和未特指的中枢神经系统感染	否
1D00	感染性脑炎，不可归类在他处者	否
1D00.0	细菌性脑炎	是
1D00.1	真菌性脑炎	是
1D00.2	寄生虫或原虫性脑炎	是
1D00.Y	其他特指的感染性脑炎，不可归类在他处者	是
1D00.Z	感染性脑炎，不可归类在他处者，未特指的	是
1D01	感染性脑膜炎，不可归类在他处者	否
1D01.0	细菌性脑膜炎	否
1D01.00	流感嗜血杆菌性脑膜炎	是
1D01.0Y	其他特指的细菌性脑膜炎	是
1D01.0Z	细菌性脑膜炎，未特指的	是
1D01.1	真菌性脑膜炎	否
1D01.10	新型隐球菌性脑膜炎	是
1D01.1Y	其他特指的真菌性脑膜炎	是
1D01.1Z	真菌性脑膜炎，未特指的	是
1D01.2	寄生虫或原虫性脑膜炎	是
1D01.3	良性复发性脑膜炎	是
1D01.Y	其他特指的感染性脑膜炎，不可归类在他处者	是
1D01.Z	未特指的感染性脑膜炎，不可归类在他处者	是
1D02	感染性脊髓炎，不可归类在他处者	否
1D02.0	细菌性脊髓炎	是
1D02.1	病毒性脊髓炎	是
1D02.2	真菌性脊髓炎	是
1D02.3	寄生虫性脊髓炎	是
1D02.Y	其他特指的感染性脊髓炎，不可归类在他处者	是
1D02.Z	未特指的感染性脊髓炎，不可归类在他处者	是
1D03	中枢神经系统感染性脓肿	否
1D03.0	椎管内髓内脓肿	是
1D03.1	椎管内硬膜下脓肿	是
1D03.2	椎管内硬膜外脓肿	是
1D03.3	颅内脓肿	否
1D03.30	大脑半球深部脓肿	是
1D03.31	胼胝体脓肿	是
1D03.32	垂体脓肿	是
1D03.33	多发或播散性颅内脓肿	是
1D03.3Y	其他特指的颅内脓肿	是
1D03.3Z	颅内脓肿，未特指的	是
1D03.4	椎管内硬脊膜外脓肿	是
1D03.5	脊髓脓肿	是
1D03.Y	其他特指的中枢神经系统感染性脓肿	是
1D03.Z	中枢神经系统感染性脓肿，未特指的	是
1D04	中枢神经系统感染性肉芽肿	否
1D04.0	颅内寄生虫性肉芽肿	是
1D04.1	颅内肉芽肿	否
1D04.10	颅内真菌性肉芽肿	是
1D04.1Y	其他特指的颅内肉芽肿	是
1D04.1Z	颅内肉芽肿，未特指的	是
1D04.2	椎管内髓内肉芽肿	是
1D04.3	椎管内硬膜下脓肿	是
1D04.4	椎管内硬膜外脓肿	是
1D04.5	椎管内硬膜外脓肿	是
1D04.Y	其他特指的中枢神经系统感染性肉芽肿	是
1D04.Z	中枢神经系统感染性肉芽肿，未特指的	是
1D05	中枢神经系统感染性囊肿	否
1D05.0	硬膜外感染性囊肿	是
1D05.1	硬膜下感染性囊肿	是
1D05.Y	其他特指的中枢神经系统感染性囊肿	是
1D05.Z	中枢神经系统感染性囊肿，未特指的	是
1D0Y	中枢神经系统其他特指的非病毒性感染和未特指的感染	是
1D0Z	非病毒性中枢神经系统感染，未特指的	是
L1-1D2	登革热	否
1D20	登革热不伴前驱征兆	是
1D21	登革热伴前驱征兆	是
1D22	重症登革热	是
1D2Z	登革热，未特指的	是
L1-1D4	某些节肢动物媒介的病毒性发热	否
1D40	基孔肯尼亚病毒性疾病	是
1D41	科罗拉多蜱热	是
1D42	O'nyong-nyong热	是
1D43	Oropouche 病毒性疾病	是
1D44	裂谷热	是
1D45	白蛉热	是
1D46	西尼罗河病毒感染	是
1D47	黄热病	是
1D48	寨卡病毒病	是
1D49	克里米亚-刚果出血热	是
1D4A	鄂木斯克出血热	是
1D4B	夸赛纳森林病	是
1D4C	Alkhurma出血热	是
1D4D	罗斯河病	是
1D4E	重症发热伴血小板减少综合征	是
1D4Y	其他特指的节肢动物媒介的病毒性发热	是
1D4Z	节肢动物媒介的病毒性发热，病毒未特指	是
L1-1D6	某些人畜共患性病毒病	否
1D60	丝状病毒病	否
1D60.0	埃博拉病毒病	否
1D60.00	斑迪布乔病毒病	是
1D60.01	埃博拉病毒病	是
1D60.02	苏丹病毒病	是
1D60.03	非典型埃博拉病毒病	是
1D60.0Y	其他特指的埃博拉病毒病	是
1D60.0Z	埃博拉病毒病，病毒未特指	是
1D60.1	马尔堡病毒病	否
1D60.10	马尔堡病毒病	是
1D60.11	非典型马尔堡出血热	是
1D60.1Y	其他特指的马尔堡病	是
1D60.1Z	马尔堡病，病毒未特指	是
1D60.Y	其他特指的丝状病毒病	是
1D60.Z	丝状病毒病，病毒未特指	是
1D61	沙粒病毒病	否
1D61.0	阿根廷出血热	是
1D61.1	玻利维亚出血热	是
1D61.2	拉沙热	是
1D61.3	委内瑞拉出血热	是
1D61.Y	其他特指的沙粒病毒病	是
1D61.Z	沙粒病毒病，未特指的	是
1D62	汉坦病毒病	否
1D62.0	肾综合征出血热	是
1D62.1	汉坦病毒肺综合征	是
1D62.2	非典型汉坦病毒病	是
1D62.Y	其他特指的汉坦病毒病	是
1D62.Z	汉坦病毒病，未特指的	是
1D63	亨尼波病毒性脑炎	是
1D64	中东呼吸综合征	是
1D65	SARS[严重急性呼吸综合征]	是
1D6Y	其他特指的人畜共患性病毒病	是
1D6Z	人畜共患性病毒病，病毒未特指	是
L1-1D8	某些其他的病毒病	否
1D80	腮腺炎	否
1D80.0	腮腺炎不伴并发症	是
1D80.1	腮腺炎病毒所致睾丸炎	是
1D80.2	腮腺炎脑膜炎	是
1D80.3	腮腺炎病毒性脑炎	是
1D80.4	腮腺炎病毒性胰腺炎	是
1D80.Y	其他特指的腮腺炎	是
1D81	传染性单核细胞增多症	否
1D81.0	EB病毒性传染性单核细胞增多症	是
1D81.1	巨细胞病毒性传染性单核细胞增多症	是
1D81.Y	其他特指的传染性单核细胞增多症	是
1D81.Z	传染性单核细胞增多症，未特指的	是
1D82	巨细胞病毒病	否
1D82.0	巨细胞病毒性肝炎	是
1D82.1	巨细胞病毒性胰腺炎	是
1D82.Y	其他特指的巨细胞病毒病	是
1D82.Z	巨细胞病毒病，未特指的	是
1D83	流行性肌痛	是
1D84	病毒性结膜炎	否
1D84.0	腺病毒结膜炎	是
1D84.1	成人流行性出血性结膜炎	是
1D84.Y	其他特指的病毒性结膜炎	是
1D84.Z	病毒性结膜炎，未特指的	是
1D85	病毒性心脏炎，病毒性心肌炎	否
1D85.0	继发于病毒性心肌炎的扩展性心肌病	是
1D85.1	急性病毒性心肌炎	是
1D85.2	慢性病毒性心肌炎	是
1D85.3	新生儿无菌性心肌炎	是
1D85.4	柯萨奇病毒性心肌炎	是
1D85.Y	其他特指的病毒性心脏炎，病毒性心肌炎	是
1D85.Z	病毒性心脏炎，病毒性心肌炎，未特指的	是
1D86	病毒性出血热，不可归类在他处者	是
L2-1D9	未特指部位的病毒性感染	否
1D90	腺病毒感染未特指部位	是
1D91	未特指部位的肠道病毒感染	是
1D92	冠状病毒感染，未特指部位	是
1D93	未特指部位的细小病毒感染	是
1D9Y	未特指部位的其他病毒感染	是
1D9Z	未特指部位的未特指病毒感染	是
1E1Y	其他特指的病毒性疾病	是
1E1Z	未特指的病毒性疾病	是
L1-1E3	流行性感冒	否
1E30	季节性流感病毒所致流行性感冒	是
1E31	人畜共患或大流行病毒株引起的流感	是
1E32	季节性流行性感冒，病毒尚未鉴定	是
L1-1E5	病毒性肝炎	否
1E50	急性病毒性肝炎	否
1E50.0	急性甲型肝炎	是
1E50.1	急性乙型肝炎	是
1E50.2	急性丙型肝炎	是
1E50.3	急性丁型肝炎	是
1E50.4	急性戊型肝炎	是
1E50.Y	其他特指的急性病毒性肝炎	是
1E50.Z	急性病毒性肝炎，未特指的	是
1E51	慢性病毒性肝炎	否
1E51.0	慢性乙型肝炎	否
1E51.00	慢性乙型肝炎和人类免疫缺陷病毒共感染	是
1E51.0Y	其他特指的慢性乙型肝炎	是
1E51.0Z	慢性乙型肝炎，未特指的	是
1E51.1	慢性丙型肝炎	是
1E51.2	慢性丁型肝炎	是
1E51.3	慢性戊型肝炎	是
1E51.Y	其他特指的慢性病毒性肝炎	是
1E51.Z	慢性病毒性肝炎，未特指的	是
1E5Z	病毒性肝炎，未特指的	是
L1-1E7	以皮肤或黏膜损害为特征的病毒感染	否
L2-1E7	痘病毒感染	否
1E70	天花	是
1E71	猴痘	是
1E72	牛痘	是
1E73	牛痘	是
